ts,stage,pod,cpu_millicores,mem_mib
2026-09-22T18:56:44.377Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,59,50
2026-09-22T18:56:44.377Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,16,10
2026-09-22T18:56:44.377Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,154,500
2026-09-22T18:56:44.377Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,3,516
2026-09-22T18:56:44.377Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,203,481
2026-09-22T18:56:44.377Z,1vu,mailpit-dd68cc87d-k4fq6,4,45
2026-09-22T18:56:59.795Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,434,543
2026-09-22T18:56:59.795Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,258,96
2026-09-22T18:56:59.795Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,46,51
2026-09-22T18:56:59.795Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,15,10
2026-09-22T18:56:59.795Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,207,502
2026-09-22T18:56:59.795Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,2,516
2026-09-22T18:56:59.795Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,203,481
2026-09-22T18:56:59.795Z,1vu,mailpit-dd68cc87d-k4fq6,6,51
2026-09-22T18:57:15.219Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,423,544
2026-09-22T18:57:15.219Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,316,94
2026-09-22T18:57:15.219Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,61,51
2026-09-22T18:57:15.219Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,19,10
2026-09-22T18:57:15.219Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,186,503
2026-09-22T18:57:15.219Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,3,516
2026-09-22T18:57:15.219Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,197,461
2026-09-22T18:57:15.219Z,1vu,mailpit-dd68cc87d-k4fq6,5,51
2026-09-22T18:57:30.664Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,457,544
2026-09-22T18:57:30.664Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,316,94
2026-09-22T18:57:30.664Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,57,56
2026-09-22T18:57:30.664Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,15,10
2026-09-22T18:57:30.664Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,212,504
2026-09-22T18:57:30.664Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,68,520
2026-09-22T18:57:30.664Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,5,456
2026-09-22T18:57:30.664Z,1vu,mailpit-dd68cc87d-k4fq6,4,51
2026-09-22T18:57:46.079Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,542,545
2026-09-22T18:57:46.079Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,424,17
2026-09-22T18:57:46.079Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,53,51
2026-09-22T18:57:46.079Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,16,10
2026-09-22T18:57:46.079Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,199,508
2026-09-22T18:57:46.079Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,205,523
2026-09-22T18:57:46.079Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,5,456
2026-09-22T18:57:46.079Z,1vu,mailpit-dd68cc87d-k4fq6,5,51
2026-09-22T18:58:01.467Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,479,570
2026-09-22T18:58:01.467Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,264,239
2026-09-22T18:58:01.467Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,64,51
2026-09-22T18:58:01.467Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,14,10
2026-09-22T18:58:01.467Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,202,511
2026-09-22T18:58:01.467Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,149,519
2026-09-22T18:58:01.467Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,3,456
2026-09-22T18:58:01.467Z,1vu,mailpit-dd68cc87d-k4fq6,4,52
2026-09-22T18:58:16.864Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,358,545
2026-09-22T18:58:16.864Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,414,17
2026-09-22T18:58:16.864Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,61,51
2026-09-22T18:58:16.864Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,18,10
2026-09-22T18:58:16.864Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,119,507
2026-09-22T18:58:16.864Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,184,521
2026-09-22T18:58:16.864Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,3,456
2026-09-22T18:58:16.864Z,1vu,mailpit-dd68cc87d-k4fq6,5,52
2026-09-22T18:58:32.284Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,524,546
2026-09-22T18:58:32.284Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,246,17
2026-09-22T18:58:32.284Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,54,53
2026-09-22T18:58:32.284Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,15,10
2026-09-22T18:58:32.284Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,4,507
2026-09-22T18:58:32.284Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,202,525
2026-09-22T18:58:32.284Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,204,462
2026-09-22T18:58:32.284Z,1vu,mailpit-dd68cc87d-k4fq6,5,52
2026-09-22T18:58:47.716Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,473,545
2026-09-22T18:58:47.716Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,404,242
2026-09-22T18:58:47.716Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,54,53
2026-09-22T18:58:47.716Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,18,10
2026-09-22T18:58:47.716Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,15,520
2026-09-22T18:58:47.716Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,166,522
2026-09-22T18:58:47.716Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,169,463
2026-09-22T18:58:47.716Z,1vu,mailpit-dd68cc87d-k4fq6,5,52
2026-09-22T18:59:03.144Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,386,546
2026-09-22T18:59:03.144Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,379,17
2026-09-22T18:59:03.144Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,59,53
2026-09-22T18:59:03.144Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,18,10
2026-09-22T18:59:03.144Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,8,520
2026-09-22T18:59:03.144Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,214,522
2026-09-22T18:59:03.144Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,158,461
2026-09-22T18:59:03.144Z,1vu,mailpit-dd68cc87d-k4fq6,4,53
2026-09-22T18:59:18.577Z,1vu,lt-invoicerr-api-65d76d54df-tvbrs,410,546
2026-09-22T18:59:18.577Z,1vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,363,17
2026-09-22T18:59:18.577Z,1vu,lt-invoicerr-postgres-6f67654f68-wgbtw,53,53
2026-09-22T18:59:18.577Z,1vu,lt-invoicerr-redis-64c5d7869-f7fhz,15,10
2026-09-22T18:59:18.577Z,1vu,lt-invoicerr-worker-6d7f4b65-hk6sh,100,521
2026-09-22T18:59:18.577Z,1vu,lt-invoicerr-worker-6d7f4b65-snwhl,179,526
2026-09-22T18:59:18.577Z,1vu,lt-invoicerr-worker-6d7f4b65-zbwkh,144,462
2026-09-22T18:59:18.577Z,1vu,mailpit-dd68cc87d-k4fq6,5,53
2026-09-22T18:59:33.967Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,410,546
2026-09-22T18:59:33.967Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,286,17
2026-09-22T18:59:33.967Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,53,53
2026-09-22T18:59:33.967Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,15,10
2026-09-22T18:59:33.967Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,189,522
2026-09-22T18:59:33.967Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,171,522
2026-09-22T18:59:33.967Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,19,462
2026-09-22T18:59:33.967Z,2vu,mailpit-dd68cc87d-k4fq6,5,53
2026-09-22T18:59:49.374Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,533,552
2026-09-22T18:59:49.374Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,286,83
2026-09-22T18:59:49.374Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,65,57
2026-09-22T18:59:49.374Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,27,10
2026-09-22T18:59:49.374Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,131,525
2026-09-22T18:59:49.374Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,170,526
2026-09-22T18:59:49.374Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,43,463
2026-09-22T18:59:49.374Z,2vu,mailpit-dd68cc87d-k4fq6,3,53
2026-09-22T19:00:04.810Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,630,554
2026-09-22T19:00:04.810Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,550,17
2026-09-22T19:00:04.810Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,78,65
2026-09-22T19:00:04.810Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,17,10
2026-09-22T19:00:04.810Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,103,525
2026-09-22T19:00:04.810Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,244,523
2026-09-22T19:00:04.810Z,2vu,lt-invoicerr-worker-6d7f4b65-zbwkh,166,463
2026-09-22T19:00:04.810Z,2vu,mailpit-dd68cc87d-k4fq6,5,53
2026-09-22T19:00:20.197Z,2vu,lt-invoicerr-api-65d76d54df-tvbrs,646,565
2026-09-22T19:00:20.197Z,2vu,lt-invoicerr-ocr-67dfc6f76c-bncp6,834,17
2026-09-22T19:00:20.197Z,2vu,lt-invoicerr-postgres-6f67654f68-wgbtw,94,60
2026-09-22T19:00:20.197Z,2vu,lt-invoicerr-redis-64c5d7869-f7fhz,18,10
2026-09-22T19:00:20.197Z,2vu,lt-invoicerr-worker-6d7f4b65-hk6sh,139,526
2026-09-22T19:00:20.197Z,2vu,lt-invoicerr-worker-6d7f4b65-snwhl,247,523
